fare_id,route_id,origin_id,destination_id
F1,,0217,0220
F1,,0220,0217
F2,,0217,0221
F2,,0221,0217
F2,,0217,0222
F2,,0222,0217
F2,,0217,0223
F2,,0223,0217
F2,,0217,0224
F2,,0224,0217
F2,,0217,0225
F2,,0225,0217
F4,,0217,0123
F4,,0123,0217
F4,,0217,0124
F4,,0124,0217
F4,,0217,0125
F4,,0125,0217
F3,,0217,0126
F3,,0126,0217
F3,,0217,0127
F3,,0127,0217
F3,,0217,0128
F3,,0128,0217
F3,,0217,0129
F3,,0129,0217
F2,,0217,0130
F2,,0130,0217
F2,,0217,0131
F2,,0131,0217
F1,,0217,0132
F1,,0132,0217
F1,,0217,0133
F1,,0133,0217
F1,,0217,0134
F1,,0134,0217
F1,,0217,0135
F1,,0135,0217
F1,,0217,0136
F1,,0136,0217
F1,,0217,0137
F1,,0137,0217
F2,,0217,0138
F2,,0138,0217
F2,,0217,0139
F2,,0139,0217
F1,,0218,0219
F1,,0219,0218
F1,,0218,0220
F1,,0220,0218
F1,,0218,0221
F1,,0221,0218
F2,,0218,0222
F2,,0222,0218
F2,,0218,0223
F2,,0223,0218
F2,,0218,0224
F2,,0224,0218
F2,,0218,0225
F2,,0225,0218
F4,,0218,0123
F4,,0123,0218
F4,,0218,0124
F4,,0124,0218
F4,,0218,0125
F4,,0125,0218
F3,,0218,0126
F3,,0126,0218
F3,,0218,0127
F3,,0127,0218
F3,,0218,0128
F3,,0128,0218
F2,,0218,0129
F2,,0129,0218
F2,,0218,0130
F2,,0130,0218
F1,,0218,0131
F1,,0131,0218
F1,,0218,0132
F1,,0132,0218
F1,,0218,0133
F1,,0133,0218
F1,,0218,0134
F1,,0134,0218
F1,,0218,0136
F1,,0136,0218
F1,,0218,0137
F1,,0137,0218
F1,,0218,0138
F1,,0138,0218
F2,,0218,0139
F2,,0139,0218
F1,,0219,0220
F1,,0220,0219
F1,,0219,0221
F1,,0221,0219
F1,,0219,0222
F1,,0222,0219
F2,,0219,0223
F2,,0223,0219
F2,,0219,0224
F2,,0224,0219
F2,,0219,0225
F2,,0225,0219
F4,,0219,0123
F4,,0123,0219
F4,,0219,0124
F4,,0124,0219
F4,,0219,0125
F4,,0125,0219
F3,,0219,0126
F3,,0126,0219
F3,,0219,0127
F3,,0127,0219
F3,,0219,0128
F3,,0128,0219
F3,,0219,0129
F3,,0129,0219
F2,,0219,0130
F2,,0130,0219
F2,,0219,0131
F2,,0131,0219
F1,,0219,0132
F1,,0132,0219
F1,,0219,0133
F1,,0133,0219
F1,,0219,0134
F1,,0134,0219
F1,,0219,0135
F1,,0135,0219
F1,,0219,0136
F1,,0136,0219
F1,,0219,0137
F1,,0137,0219
F2,,0219,0138
F2,,0138,0219
F2,,0219,0139
F2,,0139,0219
F1,,0220,0221
F1,,0221,0220
F1,,0220,0222
F1,,0222,0220
F1,,0220,0223
F1,,0223,0220
F2,,0220,0224
F2,,0224,0220
F2,,0220,0225
F2,,0225,0220
F5,,0220,0123
F5,,0123,0220
F4,,0220,0124
F4,,0124,0220
F4,,0220,0125
F4,,0125,0220
F4,,0220,0126
F4,,0126,0220
F3,,0220,0127
F3,,0127,0220
F3,,0220,0128
F3,,0128,0220
F3,,0220,0129
F3,,0129,0220
F2,,0220,0130
F2,,0130,0220
F2,,0220,0131
F2,,0131,0220
F2,,0220,0132
F2,,0132,0220
F2,,0220,0133
F2,,0133,0220
F1,,0220,0134
F1,,0134,0220
F1,,0220,0135
F1,,0135,0220
F1,,0220,0136
F1,,0136,0220
F2,,0220,0137
F2,,0137,0220
F2,,0220,0138
F2,,0138,0220
F2,,0220,0139
F2,,0139,0220
F1,,0221,0222
F1,,0222,0221
F1,,0221,0223
F1,,0223,0221
F1,,0221,0224
F1,,0224,0221
F2,,0221,0225
F2,,0225,0221
F5,,0221,0123
